"MaritalStatus";"ApplicationMode";"ApplicationOrder";"Course";"DaytimeEveningAttendance";"PreviousQualification";"PreviousQualificationGrade";"Nationality";"MotherQualification";"FatherQualification";"MotherOccupation";"FatherOccupation";"AdmissionGrade";"Displaced";"EducationalSpecialNeeds";"Debtor";"TuitionFeesUpToDate";"Gender";"ScholarshipHolder";"AgeAtEnrollment";"International";"CurricularUnits1stSemCredited";"CurricularUnits1stSemEnrolled";"CurricularUnits1stSemEvaluation";"CurricularUnits1stSemApproved";"CurricularUnits1stSemGrade";"CurricularUnits1stSemNoEvaluation";"CurricularUnits2ndSemCredited";"CurricularUnits2ndSemEnrolled";"CurricularUnits2ndSemEvaluations";"CurricularUnits2ndSemApproved";"CurricularUnits2ndSemGrade";"CurricularUnits2ndSemNoEvaluation";"AverageCurricularGrade";"UnemploymentRate";"InflationRate";"GDP";"Target"
"4";"39";"1";"9130";"1";"1";"134";"1";"3";"1";"5";"5";"110.00";"1";"0";"0";"1";"0";"1";"30";"0";"0";"6";"7";"0";"0.00";"0";"0";"6";"16";"1";"10.00";"0";"5";"11.10";"0.60";"2.02";"1"
"1";"17";"1";"9238";"1";"1";"125";"1";"4";"3";"1";"1";"119.80";"0";"0";"0";"1";"0";"0";"18";"0";"0";"6";"9";"5";"11.58";"0";"0";"6";"8";"6";"12.15";"0";"11.87";"16.20";"0.30";"-0.92";"3"
"1";"17";"1";"9853";"1";"1";"133";"1";"38";"38";"9";"9";"127.40";"0";"0";"1";"1";"0";"1";"18";"0";"0";"7";"7";"7";"12.72";"0";"0";"7";"7";"7";"12.29";"0";"12.51";"16.20";"0.30";"-0.92";"3"
"1";"17";"2";"9670";"1";"1";"110";"1";"1";"1";"4";"10";"115.30";"1";"0";"0";"1";"1";"0";"19";"0";"0";"6";"8";"6";"13.86";"0";"0";"6";"8";"5";"13.00";"0";"13.43";"15.50";"2.80";"-4.06";"3"
"1";"39";"1";"9500";"1";"1";"130";"1";"37";"19";"9";"8";"106.20";"1";"0";"0";"1";"0";"0";"27";"0";"0";"7";"14";"0";"0.00";"0";"0";"7";"14";"0";"0.00";"0";"0";"11.10";"0.60";"2.02";"1"
"1";"39";"1";"8014";"0";"15";"170";"1";"34";"1";"90";"2";"101.00";"0";"0";"0";"1";"0";"0";"32";"0";"0";"6";"9";"4";"12.00";"0";"0";"6";"12";"4";"11.50";"0";"11.75";"7.60";"2.60";"0.32";"3"
"1";"1";"1";"9773";"1";"1";"143";"1";"3";"3";"2";"5";"144.80";"0";"0";"0";"1";"0";"0";"19";"0";"0";"6";"6";"6";"12.17";"0";"0";"6";"6";"6";"12.50";"0";"12.34";"16.20";"0.30";"-0.92";"2"
"1";"51";"1";"9119";"1";"1";"136";"1";"1";"19";"3";"5";"133.60";"1";"0";"0";"1";"1";"0";"20";"0";"4";"9";"12";"9";"13.46";"0";"2";"7";"9";"6";"13.88";"0";"13.67";"11.10";"0.60";"2.02";"1"
"1";"17";"5";"9500";"1";"1";"147";"1";"19";"1";"4";"3";"138.50";"1";"0";"0";"1";"0";"0";"19";"0";"0";"8";"8";"8";"14.35";"0";"0";"8";"8";"8";"14.35";"0";"14.35";"9.40";"-0.80";"-3.12";"3"
"1";"1";"1";"9500";"1";"1";"118";"1";"19";"19";"5";"7";"117.80";"0";"0";"0";"1";"0";"1";"19";"0";"0";"7";"7";"7";"13.70";"0";"0";"8";"9";"7";"14.68";"0";"14.19";"12.40";"0.50";"1.79";"3"
"1";"1";"3";"9500";"1";"1";"134";"1";"1";"37";"8";"7";"120.50";"1";"0";"0";"1";"1";"1";"18";"0";"0";"7";"12";"7";"11.72";"0";"0";"8";"13";"4";"10.87";"0";"11.3";"15.50";"2.80";"-4.06";"3"
"1";"1";"2";"9500";"1";"1";"140";"1";"38";"38";"9";"7";"138.80";"1";"0";"0";"1";"0";"0";"19";"0";"0";"7";"7";"6";"12.77";"0";"0";"7";"7";"6";"12.77";"0";"12.77";"7.60";"2.60";"0.32";"3"
"1";"7";"1";"9500";"1";"3";"140";"1";"1";"1";"9";"5";"140.00";"0";"0";"0";"1";"0";"0";"33";"0";"2";"7";"8";"6";"14.35";"0";"3";"8";"10";"6";"14.59";"0";"14.47";"16.20";"0.30";"-0.92";"1"
"1";"1";"2";"9500";"1";"1";"137";"1";"19";"19";"7";"7";"120.80";"1";"0";"0";"1";"0";"1";"18";"0";"0";"8";"8";"7";"14.66";"0";"0";"8";"8";"7";"14.66";"0";"14.66";"10.80";"1.40";"1.74";"3"
"5";"1";"3";"9085";"1";"1";"133";"1";"19";"19";"4";"7";"119.70";"1";"0";"0";"1";"0";"0";"21";"0";"0";"5";"13";"5";"12.20";"2";"0";"5";"10";"3";"11.34";"1";"11.77";"9.40";"-0.80";"-3.12";"2"
"1";"1";"1";"9500";"1";"1";"139";"1";"37";"38";"6";"6";"121.30";"1";"0";"0";"1";"0";"1";"19";"0";"0";"8";"10";"6";"11.84";"0";"0";"8";"10";"6";"11.84";"0";"11.84";"9.40";"-0.80";"-3.12";"2"
"1";"1";"1";"171";"1";"1";"156";"1";"3";"3";"2";"2";"147.70";"1";"0";"0";"1";"0";"0";"21";"0";"6";"12";"12";"12";"15.34";"0";"4";"11";"15";"11";"15.00";"0";"15.17";"8.90";"1.40";"3.51";"3"
"1";"17";"1";"9147";"1";"1";"115";"1";"19";"19";"7";"7";"115.00";"1";"0";"0";"1";"0";"0";"23";"0";"0";"5";"7";"2";"10.00";"1";"0";"5";"9";"1";"12.00";"0";"11";"9.40";"-0.80";"-3.12";"2"
"1";"1";"2";"9670";"1";"1";"120";"1";"3";"19";"4";"5";"115.50";"1";"0";"0";"1";"0";"0";"18";"0";"0";"6";"8";"5";"13.00";"0";"0";"6";"8";"5";"14.00";"0";"13.5";"13.90";"-0.30";"0.79";"3"
"1";"1";"1";"9238";"1";"1";"145";"1";"19";"37";"4";"7";"148.90";"1";"0";"0";"1";"0";"1";"18";"0";"0";"6";"6";"6";"13.67";"0";"0";"6";"6";"6";"13.00";"0";"13.34";"10.80";"1.40";"1.74";"3"
"1";"39";"1";"9238";"1";"19";"134";"1";"37";"37";"9";"9";"139.00";"0";"0";"1";"0";"1";"0";"33";"0";"0";"6";"8";"0";"0.00";"0";"0";"5";"6";"0";"0.00";"0";"0";"16.20";"0.30";"-0.92";"1"
"1";"39";"1";"9085";"1";"19";"134";"1";"37";"37";"9";"9";"100.00";"1";"0";"1";"0";"0";"1";"26";"0";"0";"6";"7";"0";"0.00";"0";"0";"6";"6";"0";"0.00";"0";"0";"13.90";"-0.30";"0.79";"1"
"1";"1";"1";"9238";"1";"1";"136";"1";"19";"38";"9";"9";"121.70";"0";"1";"0";"1";"0";"1";"20";"0";"0";"6";"9";"6";"11.88";"0";"0";"6";"7";"6";"14.43";"0";"13.16";"16.20";"0.30";"-0.92";"3"
"1";"17";"1";"9003";"1";"1";"133";"1";"38";"37";"9";"9";"125.30";"1";"0";"0";"1";"0";"0";"21";"0";"12";"18";"22";"18";"11.89";"1";"11";"13";"13";"13";"11.47";"0";"11.68";"15.50";"2.80";"-4.06";"3"
"1";"1";"1";"9670";"1";"1";"122";"1";"12";"12";"5";"7";"126.60";"1";"0";"0";"1";"0";"0";"18";"0";"0";"6";"8";"6";"14.63";"0";"0";"6";"9";"6";"14.15";"0";"14.39";"11.10";"0.60";"2.02";"2"
"6";"17";"3";"8014";"0";"1";"115";"1";"19";"1";"5";"90";"115.00";"0";"0";"0";"0";"0";"0";"24";"0";"0";"5";"5";"0";"0.00";"0";"0";"5";"10";"0";"0.00";"0";"0";"10.80";"1.40";"1.74";"1"
"1";"43";"1";"8014";"0";"1";"148";"1";"37";"37";"9";"9";"134.70";"0";"0";"0";"1";"0";"0";"23";"0";"9";"13";"15";"9";"11.00";"0";"4";"11";"12";"7";"11.58";"0";"11.29";"15.50";"2.80";"-4.06";"2"
"1";"1";"1";"9147";"1";"1";"129";"1";"37";"38";"4";"9";"121.00";"1";"0";"0";"1";"0";"0";"18";"0";"0";"5";"8";"2";"10.50";"0";"0";"5";"7";"3";"12.34";"0";"11.42";"7.60";"2.60";"0.32";"2"
"1";"17";"2";"9773";"1";"1";"120";"1";"1";"1";"2";"5";"127.00";"1";"0";"0";"0";"1";"0";"18";"0";"0";"6";"6";"0";"0.00";"0";"0";"6";"0";"0";"0.00";"0";"0";"8.90";"1.40";"3.51";"1"
"1";"44";"1";"9085";"1";"39";"140";"1";"3";"38";"2";"9";"140.00";"1";"0";"0";"1";"0";"0";"21";"0";"7";"12";"18";"8";"12.25";"0";"4";"12";"27";"8";"12.20";"0";"12.23";"12.40";"0.50";"1.79";"2"
"1";"1";"3";"9773";"1";"1";"142";"1";"34";"1";"5";"10";"136.10";"1";"0";"0";"0";"1";"0";"19";"0";"0";"4";"8";"0";"0.00";"1";"0";"6";"0";"0";"0.00";"0";"0";"9.40";"-0.80";"-3.12";"1"
"2";"51";"1";"9500";"1";"1";"130";"1";"37";"37";"5";"5";"120.00";"0";"0";"0";"1";"1";"0";"44";"0";"0";"7";"11";"5";"12.10";"0";"0";"7";"10";"5";"12.60";"0";"12.35";"11.10";"0.60";"2.02";"1"
"1";"1";"3";"9773";"1";"1";"149";"1";"1";"3";"0";"0";"148.70";"0";"0";"0";"0";"1";"0";"20";"0";"0";"4";"4";"0";"0.00";"0";"0";"4";"8";"0";"0.00";"0";"0";"10.80";"1.40";"1.74";"1"
